report-id,report-title,filer,filed-date,filed-time,owner,ticker,asset-name,transaction-type,transaction-date,amount,comment,asset-type,type
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,VIG,Vanguard Dividend Appreciation ETF,Purchase,01/30/2015,"$1,001 - $15,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,--,International Equity Common Trust Fund,Purchase,01/30/2015,"$15,001 - $50,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,FPACX,FPA Crescent,Purchase,03/31/2015,"$50,001 - $100,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,ECEIX,Lazard Emerging Markets Core Equity Inst,Purchase,03/31/2015,"$1,001 - $15,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,--,International Equity Common Trust Fund,Purchase,03/31/2015,"$15,001 - $50,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,MLPTX,Oppenheimer SteelPath MLP Select 40 Y,Purchase,04/30/2015,"$1,001 - $15,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,VIG,Vanguard Dividend Appreciation ETF,Purchase,04/30/2015,"$1,001 - $15,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,--,Large Cap US Equity Common Trust Fund,Purchase,04/30/2015,"$1,001 - $15,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,--,Broad Based Consumer Credit (Q) Fund LP,Purchase,07/28/2015,"$100,001 - $250,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,--,Winston Global Fund LP Onshore,Purchase,09/30/2015,"$250,001 - $500,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,MLPTX,Oppenheimer SteelPath MLP Select 40 Y,Purchase,10/30/2015,"$15,001 - $50,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,VIG,Vanguard Dividend Appreciation ETF,Purchase,10/30/2015,"$15,001 - $50,000",--,,
0274c846-a8e6-4ab1-9d52-7df85fd24624,Annual Report for Calendar 2015,"Alexander, Lamar",06/15/2016,1:52 PM,Spouse,ECEIX,Lazard Emerging Markets Core Equity Inst,Purchase,12/18/2015,"$15,001 - $50,000",--,,
